a,b,c,d,e,f,g,h,i,j,k,l,m
0.66,-0.0015905,-0.0012436,-0.012602,-0.012856,0.0085733,0.0097225,0.017534,0.017496,-0.020674,-0.020828,0.0090778,0.0082876
0.67,-0.0039883,-0.0032787,-0.012651,-0.013026,0.0091033,0.010339,0.018466,0.018176,-0.022448,-0.022474,0.013811,0.01305
0.68,-0.0060041,-0.005908,-0.012367,-0.01284,0.0095006,0.010536,0.019001,0.018832,-0.023952,-0.023597,0.017862,0.018901
0.69,-0.008016,-0.0074825,-0.011824,-0.012408,0.0096327,0.01089,0.018995,0.019013,-0.024924,-0.024597,0.022082,0.019199
0.7,-0.0097746,-0.0095512,-0.011111,-0.01186,0.0095993,0.010914,0.018483,0.018708,-0.025122,-0.025177,0.025272,0.025201
0.71,-0.011368,-0.010831,-0.010303,-0.011621,0.009289,0.010662,0.017525,0.017759,-0.024753,-0.02499,0.028193,0.026908
0.72,-0.012436,-0.012704,-0.009099,-0.0095516,0.0088177,0.010249,0.016483,0.017763,-0.023465,-0.023209,0.030139,0.029445
0.73,-0.013285,-0.013416,-0.0076409,-0.0083782,0.0081429,0.0095972,0.015095,0.01624,-0.021655,-0.021706,0.031611,0.030475
0.74,-0.013934,-0.013934,-0.0058691,-0.0056193,0.0071866,0.008101,0.013153,0.013637,-0.019866,-0.02166,0.032511,0.031554
0.75,-0.014247,-0.014387,-0.0040098,-0.0041623,0.0059901,0.0068149,0.010572,0.010347,-0.017698,-0.019765,0.032502,0.031895
0.76,-0.01428,-0.014489,-0.002009,-0.001912,0.0047009,0.005315,0.0080847,0.0089198,-0.014887,-0.015792,0.031483,0.031057
0.77,-0.013933,-0.014271,0.00017758,0.00025096,0.0033717,0.0040666,0.0052132,0.0051042,-0.011966,-0.013164,0.02973,0.029685
0.78,-0.013353,-0.013875,0.0025093,0.002168,0.0018792,0.0023038,0.0022414,0.0023349,-0.0085767,-0.0085214,0.027754,0.028945
0.79,-0.012451,-0.012881,0.0043974,0.0045472,9.4515e-05,0.00027986,-0.0010354,-0.00082278,-0.0048572,-0.0047163,0.024666,0.024274
0.8,-0.011492,-0.012639,0.006284,0.0059714,-0.0015239,-0.0013854,-0.0043048,-0.0036773,-0.00064811,-0.00042622,0.021456,0.022678
0.81,-0.010113,-0.010224,0.0080081,0.0078927,-0.0031299,-0.0030443,-0.0070104,-0.0071814,0.0034752,0.0035365,0.017274,0.016765
0.82,-0.0085433,-0.0093803,0.0094588,0.0093133,-0.0042894,-0.0052789,-0.0095423,-0.0099338,0.00758,0.0068378,0.013343,0.014567
0.83,-0.0066975,-0.0067067,0.010652,0.01077,-0.0056025,-0.0056013,-0.01193,-0.011525,0.0111,0.011527,0.0087077,0.0093672
0.84,-0.0048294,-0.0052883,0.011562,0.011727,-0.0066464,-0.0076043,-0.013922,-0.013717,0.014657,0.013685,0.003486,0.0033455
0.85,-0.0025784,-0.0022156,0.012349,0.012238,-0.0075283,-0.0086538,-0.015669,-0.015575,0.017134,0.018945,-0.002281,-0.001472
0.86,-0.00016724,-2.4231e-05,0.012801,0.012752,-0.0082101,-0.0094369,-0.017093,-0.016902,0.019988,0.018009,-0.0071353,-0.0071256
0.87,0.0023342,0.0022025,0.012865,0.013072,-0.0088959,-0.0095008,-0.018232,-0.017658,0.022095,0.022294,-0.011597,-0.011404
0.88,0.0045089,0.0045713,0.012669,0.013014,-0.0092326,-0.010458,-0.018748,-0.01876,0.023666,0.023678,-0.015986,-0.014747
0.89,0.0068242,0.0058172,0.012186,0.012588,-0.0094437,-0.010581,-0.018913,-0.019028,0.024817,0.024373,-0.019826,-0.019735
0.9,0.0086031,0.0086736,0.0115,0.012231,-0.0093229,-0.010603,-0.018752,-0.018999,0.025309,0.025386,-0.023303,-0.021534
0.91,0.010136,0.01049,0.01065,0.011562,-0.009065,-0.010467,-0.018185,-0.018575,0.024906,0.025303,-0.026027,-0.025994
0.92,0.011493,0.011168,0.0095448,0.010456,-0.0085063,-0.0096993,-0.017041,-0.016959,0.023832,0.024168,-0.027961,-0.028117
0.93,0.012686,0.012308,0.0080843,0.0082881,-0.0078508,-0.009407,-0.01557,-0.016109,0.02251,0.023787,-0.02981,-0.028372
0.94,0.013582,0.013137,0.0063457,0.0061658,-0.0070749,-0.0085622,-0.01378,-0.014306,0.02083,0.02251,-0.030913,-0.029837
0.95,0.014061,0.013979,0.0043976,0.0042787,-0.0061459,-0.0075403,-0.011763,-0.012784,0.018187,0.017802,-0.031118,-0.03054
0.96,0.014139,0.01422,0.002503,0.0026567,-0.0049138,-0.0053854,-0.0093259,-0.0090542,0.015895,0.01912,-0.030342,-0.03
0.97,0.01399,0.014183,0.0002311,0.00026439,-0.0037015,-0.0044875,-0.0066611,-0.0067039,0.012873,0.013864,-0.028938,-0.029163
0.98,0.01345,0.013713,-0.0019649,-0.0018367,-0.0023483,-0.0025714,-0.0038765,-0.004078,0.0092934,0.0096345,-0.027111,-0.028095
0.99,0.012542,0.012819,-0.0040076,-0.0038895,-0.00061659,-0.0003743,-0.00055456,-0.00046294,0.0055754,0.0058268,-0.024944,-0.026354
1,0.011387,0.011839,-0.0058648,-0.0056522,0.0010349,0.0012106,0.0025804,0.0025353,0.0015772,0.0017065,-0.021541,-0.020197
1.01,0.010096,0.010777,-0.0076392,-0.0073253,0.0026727,0.0029243,0.0055527,0.0052299,-0.0029127,-0.0023139,-0.018196,-0.019978
1.02,0.0086908,0.0096769,-0.0091365,-0.0089804,0.0041065,0.0047371,0.0083009,0.0084485,-0.0068421,-0.0068555,-0.014171,-0.013792
1.03,0.0070443,0.0078556,-0.010446,-0.010159,0.005377,0.0063171,0.0107,0.011257,-0.010543,-0.010452,-0.010298,-0.01203
1.04,0.0049205,0.0045341,-0.011315,-0.011652,0.006653,0.0071506,0.013291,0.011685,-0.013637,-0.01454,-0.0057454,-0.0056674
1.05,0.0027652,0.0029673,-0.012035,-0.01223,0.0077482,0.0082065,0.015146,0.015411,-0.016657,-0.016474,-0.000378,-3.3336e-05
1.06,0.00040014,0.00050015,-0.0125,-0.012762,0.0085607,0.0095791,0.016505,0.016967,-0.019227,-0.019591,0.0052006,0.0049539
1.07,-0.0021665,-0.001791,-0.012695,-0.012986,0.0091016,0.010257,0.017541,0.017922,-0.02121,-0.021708,0.01024,0.0099877
1.08,-0.0046119,-0.0038923,-0.012533,-0.012935,0.0095223,0.010512,0.018484,0.018099,-0.022849,-0.022723,0.015177,0.01314
1.09,-0.0066579,-0.0063314,-0.012171,-0.012814,0.009644,0.010903,0.018952,0.018852,-0.024226,-0.023885,0.018915,0.020597
1.1,-0.0086221,-0.0082036,-0.011614,-0.012397,0.0096141,0.010917,0.018871,0.018994,-0.024863,-0.02502,0.022881,0.021729
1.11,-0.010198,-0.0099736,-0.010874,-0.01184,0.009316,0.010618,0.01823,0.018442,-0.024786,-0.025166,0.025692,0.02634
1.12,-0.011573,-0.0114,-0.0098242,-0.010644,0.0088732,0.010421,0.017221,0.017685,-0.023943,-0.024328,0.028581,0.026789
1.13,-0.012536,-0.013,-0.0083257,-0.0082456,0.0081901,0.0096448,0.016092,0.017144,-0.022701,-0.023656,0.03049,0.029717
1.14,-0.013445,-0.01315,-0.0067162,-0.0067733,0.0072294,0.0080584,0.014669,0.016144,-0.021176,-0.022857,0.031932,0.03077
1.15,-0.014018,-0.014099,-0.0048448,-0.0047356,0.0060328,0.0068733,0.012501,0.0122,-0.019406,-0.021384,0.032292,0.031882
1.16,-0.014334,-0.014362,-0.0029345,-0.0029283,0.0047131,0.0052536,0.009985,0.0099866,-0.017069,-0.018862,0.031942,0.031799
