a,b,c,d,e,f,g,h,i,j,k,l,m
1,0.012203204,0.011444692,0.009826346,0.009923209,0.007099045,0.007233269,-0.045304607,-0.045075973,0.074224569,0.072583253,0.031942362,0.03259132
1.01,0.016014688,0.01617186,0.013978706,0.01292651,0.006683882,0.00671262,-0.051908077,-0.048047131,0.07017748,0.067774418,0.04341432,0.042418548
1.02,0.019929254,0.017453184,0.017407642,0.017984813,0.006139887,0.006302607,-0.057334594,-0.052814682,0.064709422,0.063632271,0.053992952,0.051936613
1.03,0.022697723,0.023253236,0.020867434,0.019420546,0.005528257,0.005977866,-0.061078743,-0.058039068,0.057725679,0.056897652,0.063376693,0.060568949
1.04,0.025135829,0.024479327,0.023236919,0.024078148,0.004905255,0.005718615,-0.063471874,-0.061193431,0.049696433,0.050446875,0.071380147,0.068268391
1.05,0.027317173,0.026205039,0.024976664,0.026359786,0.004057034,0.00425327,-0.064176888,-0.062416218,0.04027115,0.040721228,0.077985548,7.50E-02
1.06,0.028554981,0.028308406,0.026638861,0.026305755,0.003073843,0.003111551,-0.063470458,-0.062241123,0.029990222,0.029736059,0.082736448,0.079611174
1.07,0.029265401,0.02889965,0.027471591,0.028187078,0.002002719,0.00198056,-0.061071405,-0.059943565,0.019505788,0.019665845,0.08519494,0.082839652
1.08,0.029410283,0.02916182,0.027476526,0.028571084,0.000956915,0.001092427,-0.057414846,-0.057580345,0.007133123,0.006056659,0.085833434,0.084085184
1.09,0.028852126,0.028848967,0.026947423,0.028287629,-0.000158712,-0.000141948,-0.05179109,-0.049102591,-0.004464062,-0.004744017,0.084424395,0.083462912
1.1,0.027820999,0.028162365,0.025613528,0.027020725,-0.001252625,-0.001417778,-0.04501759,-0.043201345,-0.015294908,-0.015979125,0.081024555,0.081087633
1.11,0.025942337,0.026099553,0.024022742,0.025950459,-0.002183415,-0.00240732,-0.037507319,-0.037138737,-0.026229266,-0.025838325,0.075146226,0.073528739
1.12,0.023291886,0.023218603,0.022090993,0.024610728,-0.003063652,-0.003568008,-0.029094752,-0.027870911,-0.03703565,-0.034754116,0.067776417,0.067676459
1.13,0.020590493,0.021723604,0.019312783,0.020523127,-0.003925821,-0.004201353,-0.02057022,-0.021977647,-0.04695433,-0.04522486,0.058716043,0.059282347
1.14,0.016690604,0.015191459,0.015919381,0.017039088,-0.004701559,-0.005283463,-0.011834029,-0.013296645,-0.056358927,-0.051505091,0.048746251,0.05077335
1.15,0.012665574,0.012664003,0.012211152,0.012805832,-0.005484249,-0.005479543,-0.002895621,-0.003320845,-0.063959106,-0.059556095,0.037356004,0.037085673
1.16,0.008029129,0.007547207,0.008110762,0.00885702,-0.006188147,-0.006048816,0.007057906,0.006124007,-0.069517072,-0.066880886,0.025811218,0.027502805
1.17,0.003159139,0.003085041,0.003581691,0.003890513,-0.006678841,-0.006733272,0.016886421,0.015976598,-0.073821438,-0.070948145,0.012830099,0.012040492
1.18,-0.001131881,-0.000909863,-0.000458745,0.000123662,-0.007099025,-0.007054622,0.025682908,0.026015441,-0.076313318,-0.073685458,-0.000585967,-0.000799006
1.19,-0.005370157,-0.005153246,-0.004485363,-0.004152295,-7.29E-03,-0.007350781,0.033584267,0.0331381,-0.07709206,-0.074672682,-0.012698308,-0.013844112
1.2,-0.009330299,-0.009336763,-0.008259983,-0.008480135,-0.007228329,-0.007357133,0.041214572,0.039764144,-0.07615466,-0.074400728,-0.025058828,-0.025081238
1.21,-0.01316663,-0.01325253,-0.0120649,-0.011797749,-0.006916935,-0.00693094,0.047787486,0.047331235,-0.07347627,-0.072395594,-0.037638432,-0.035197457
1.22,-0.016544926,-0.01730597,-0.015313849,-0.016238886,-0.006481001,-0.006617358,0.053395062,0.051877085,-0.069194606,-0.069352038,-0.049428135,-0.046633538
1.23,-0.020073469,-0.019134379,-0.018904104,-0.017094575,-0.006077683,-0.006805241,0.057829247,0.055351598,-0.063268641,-0.064131729,-0.060364896,-0.055469765
1.24,-0.022778208,-0.02270279,-0.021624164,-0.021826335,-0.00542567,-0.005480488,0.061084419,0.058002135,-0.055171588,-0.054652331,-0.068702489,-0.068984236
1.25,-0.025626843,-0.023109627,-0.024264059,-0.022507102,-0.004586718,-0.004467857,0.062686664,0.061013591,-0.045226,-0.042644875,-0.076142078,-0.07158718
1.26,-0.027589705,-0.02627914,-0.026071009,-0.026200096,-0.003688972,-0.003605516,0.062880212,0.061603848,-0.035141667,-0.034035241,-0.081943804,-0.077385386
1.27,-0.02890918,-0.027694831,-0.027166509,-0.027386619,-0.002750198,-0.002896169,0.061509496,0.060721766,-0.024147528,-0.023651702,-0.085199147,-0.082548102
1.28,-0.029573939,-0.02847662,-0.02766849,-0.028218404,-0.001783359,-0.001943405,0.058539368,0.057849614,-0.013602498,-0.014446275,-0.086438886,-0.084365524
1.29,-0.029572222,-0.028714199,-0.027632226,-0.028325435,-0.000849478,-0.001018923,0.054371386,0.054276911,-0.002704233,-0.003139884,-0.085679627,-0.084331406
1.3,-0.028901971,-0.028302813,-0.026974334,-0.02782354,0.000340136,0.000332911,0.049049197,0.050594088,0.009518959,0.008153031,-0.082991625,-0.08238717
1.31,-0.027515633,-0.027057925,-0.025721549,-0.026770269,0.001328991,0.001673157,0.042457486,0.043959247,0.021193606,0.019320505,-0.077996923,-0.076795129
1.32,-0.025478142,-0.025379978,-0.023639082,-0.023495399,0.002266219,0.002581846,0.034692727,0.034742319,0.03164744,0.031636179,-0.071287924,-0.070799812
1.33,-0.022529814,-0.021185818,-0.021242518,-0.022158758,0.003223017,0.003568213,0.026459633,0.026435324,0.041526081,0.039738982,-0.063412057,-0.064956974
1.34,-0.019667533,-0.020436259,-0.018732185,-0.020517503,0.004207838,0.003900807,0.017830645,0.018747641,0.050594951,0.048643143,-0.053258287,-0.052934669
1.35,-0.015938361,-0.01442987,-0.015275783,-0.014403912,0.005027349,0.005188868,0.007782145,0.007055871,0.058353616,0.055394542,-0.041533943,-0.040451669
1.36,-0.012454536,-0.01346745,-0.012089919,-0.013668214,0.005659321,0.005931346,-0.002220005,-0.002321776,0.064975926,0.062505529,-0.029344183,-0.029363717
1.37,-0.00837981,-0.007846184,-0.008288307,-0.007833444,0.006312321,0.006146009,-0.01092358,-0.012031158,0.070264169,0.067258618,-0.017083312,-0.018265981
1.38,-0.00443825,-0.004655729,-0.004782681,-0.005177413,0.006709545,0.00689677,-0.019610676,-0.021172598,0.074225856,0.069817617,-0.005269576,-0.005937861
1.39,-0.000346272,-7.05E-05,-0.000995101,-0.000469815,0.006984976,0.007219879,-0.028395146,-0.028250626,0.075935775,0.073013265,0.007680472,0.007207795
1.4,0.003956978,0.004300275,0.002833462,0.003873518,0.007066386,0.007357766,-0.036742524,-0.034437903,0.076003324,0.073604982,0.021253566,0.019349061
1.41,0.008608701,0.008034897,0.007380386,0.007221173,0.006976479,0.007260391,-0.044326653,-0.041556614,0.074257185,0.072537677,0.033067688,0.033901096
1.42,0.013132708,0.011482672,0.011581412,0.011614288,0.006711348,0.007115767,-0.05113191,-0.046572731,0.070340687,0.068053882,0.044595393,0.042687627
1.43,0.016973331,0.016540932,0.015482417,0.015572198,0.006321848,0.006653268,-0.056861624,-0.051722315,0.064954082,0.064238536,0.054894732,0.053787166
1.44,0.020875623,0.018538856,0.019015337,0.017907179,0.005755408,0.00592169,-0.060638818,-0.058219741,0.058179466,0.058098939,0.064206933,0.061053206
1.45,0.023517148,0.023899626,0.022056532,0.02221206,0.005225232,0.005881436,-0.063449258,-0.060301564,0.050197212,0.050472882,0.072082843,0.069629408
1.46,0.026304672,0.023500085,0.024025403,0.025503238,0.004461296,0.004620411,-0.064348334,-0.062328327,0.040957538,0.041870201,0.078632497,0.075235826
1.47,0.02810909,2.72E-02,0.025733648,0.026173662,0.003476174,0.003273899,-0.063928365,-0.062391284,0.030701715,0.030144312,0.082976645,0.0802834
1.48,0.029175579,0.028451485,0.027169467,0.02708321,0.002401617,0.002363322,-0.061833667,-0.060656131,0.020212046,0.020335624,0.085327119,0.082943851
1.49,0.02962619,0.029090237,0.027760196,0.028384574,0.001405981,0.001579087,-0.058049091,-0.057332853,0.00811288,0.006973331,0.085593065,0.084135224
1.5,0.029576623,0.029155941,0.027757707,0.028566879,0.000450256,0.000567701,-0.052711152,-0.050126551,-0.003692101,-0.003896611,0.083994898,0.083360001
1.51,0.028828738,0.028604607,0.027100502,0.028076228,-0.000700347,-0.000614918,-0.046244454,-0.045549973,-0.014516209,-0.015255616,0.080207747,0.080048653
1.52,0.02768543,0.028011989,0.025547052,0.026136454,-0.001673367,-0.001906369,-0.039044761,-0.040591362,-0.025261053,-0.025092628,0.074197282,0.073937894
1.53,0.025459583,0.024834194,0.023794776,0.025747641,-0.00263673,-0.002846644,-0.030747594,-0.031357997,-0.036262401,-0.033396919,0.066439475,0.066989256
1.54,0.022859084,0.023863749,0.021695872,0.023922108,-0.00356147,-0.003783315,-0.021975612,-0.021849373,-0.046208418,-0.043978813,0.05749257,0.058827187
1.55,0.019858572,0.020056042,0.018537689,0.018376974,-0.00440922,-0.004561413,-0.013337912,-0.014650539,-0.055928915,-0.050058672,0.047313308,0.048663288
1.56,0.015849807,0.014733424,0.015114375,0.016635383,-0.005260145,-0.004940355,-0.004629788,-0.005290573,-0.063717192,-0.059444129,0.035999192,0.036176811
1.57,0.011719291,0.01157228,0.011152902,0.011078104,-0.006081287,-0.005427702,0.004820858,0.004516999,-0.069393562,-0.066920884,0.024456896,0.026013814
1.58,0.007179363,0.00718852,0.006802874,0.007074874,-0.006640303,-0.006502989,0.014798547,0.013468925,-0.073665098,-0.071042731,0.011439084,0.010686384
1.59,0.002246716,0.002278833,0.00221046,0.002549237,-0.00706834,-0.00685086,0.023734251,0.025042078,-0.076378892,-0.073341105,-0.001788283,-0.002017158
1.6,-0.001928389,-0.001717058,-0.001769895,-0.001227142,-0.007248156,-0.007335847,0.031971551,0.03176099,-0.077236384,-0.074668219,-0.013929635,-0.014980639
1.61,-0.00609813,-0.005723462,-0.005715961,-0.005273372,-0.007353169,-0.007346747,0.039797078,0.037436501,-0.07634323,-0.074427507,-0.026372682,-0.026132063
1.62,-0.010128739,-0.00976862,-0.009652543,-0.009121677,-0.007317335,-0.007401336,0.046878668,0.043915173,-0.073661021,-0.072566397,-0.038845683,-0.036893643
1.63,-0.013974726,-0.01418272,-0.013350558,-0.013554017,-0.007157905,-0.007344601,0.052687088,0.049901692,-0.069340991,-0.069578545,-0.050580884,-0.047177404
1.64,-0.017607854,-0.016662069,-0.016814641,-0.016302744,-0.006643049,-0.006486767,0.057359324,0.054064781,-0.063576172,-0.064789321,-0.061243459,-0.057455672
1.65,-0.020918386,-0.020595045,-0.019980893,-0.020087663,-0.00603996,-0.006223395,0.060688225,0.058123757,-0.05565091,-0.055328419,-0.069555903,-0.068893598
1.66,-0.023733032,-0.022580266,-0.022502512,-0.022903468,-0.005170452,-0.004905165,0.062586928,0.060726315,-0.045916851,-0.044042284,-0.076964122,-0.071994017
1.67,-0.026403353,-0.023954287,-0.024982461,-0.023724181,-0.004352142,-0.00480294,0.062912141,0.06160166,-0.035858696,-0.034874365,-0.082430678,-0.077571553
1.68,-0.028098467,-0.026752625,-0.026533336,-0.026741945,-0.003501818,-0.003832624,0.061893588,0.061134955,-0.024801472,-0.024160378,-0.085349437,-0.082739462
1.69,-0.029179332,-0.028004165,-0.02748095,-0.027665011,-0.002602827,-0.002953632,0.059067226,0.058000547,-0.0141828,-0.014984991,-0.086363956,-0.084438566
